id,depth,site,origin,,F_MISS,F_MISS,,kinship,without relatives,first degree only
./100-CC-SD-73,SD,CC,17,S.CC,0.879851,0.943352,S.CC,9,S.CC,S.CC
./102-CC-DD-82,DD,CC,7,D.CC,0.82547,0.560873,D.CC,1,D.CC,D.CC
./108-CC-DD-94,DD,CC,8,D.CC,0.895014,0.744529,D.CC,,D.CC,D.CC
./114-MF-SD-45,SD,MF,15,NA,0.625523,0.363296,S.MF,4,S.MF,S.MF
./117-MF-SD-44,SD,MF,18,S.MF,0.492377,0.300208,S.MF,4,S.MF,S.MF
./123-CC-DD-81,DD,CC,6,NA,0.448064,0.099723,D.CC,7,D.CC,D.CC
./23-MF10-1a,S,MF,11,S.MF,0.426939,0.048892,S.MF,3,S.MF,S.MF
./25-CC40-2b,D,CC,6,D.CC,0.300126,0.0247922,D.CC,7,D.CC,D.CC
./27-MF40-2b,D,MF,1,D.MF,0.781899,0.488019,D.MF,,D.MF,D.MF
./28-CC10-9b,S,CC,12,S.CC,0.638727,0.220291,S.CC,5,S.CC,S.CC
./31-MF40-5b,D,MF,2,D.MF,0.817837,0.542729,D.MF,8,D.MF,D.MF
./32-CC10-1b,S,CC,13,NA,0.916778,0.786911,S.CC,9,S.CC,S.CC
./35-MF40-1b,D,MF,3,D.MF,0.531698,0.116066,D.MF,,D.MF,D.MF
./37-CC40-8b,D,CC,4,D.CC,0.648959,0.255817,D.CC,,D.CC,D.CC
./4-MF10-4a,S,MF,14,NA,0.759722,0.386219,S.MF,4,S.MF,S.MF
./42-MF10-10b,S,MF,15,S.MF,0.371052,0.0338643,S.MF,4,S.MF,S.MF
./48-CC10-6b,S,CC,16,NA,0.949477,0.880194,S.CC,,S.CC,S.CC
./49-CC40-1b,D,CC,5,D.CC,0.701669,0.326801,D.CC,2,D.CC,D.CC
./63-MF-SS-60,SS,MF,19,S.MF,0.533823,0.149515,S.MF,4,S.MF,S.MF
./66-MF-DS-52,DS,MF,10,NA,0.975533,0.938019,D.MF,,D.MF,D.MF
./73-CC-SS-38,SS,CC,12,NA,0.927857,0.815582,S.CC,5,S.CC,S.CC
./75-CC-DD-84,DD,CC,9,D.CC,0.508778,0.108657,D.CC,10,D.CC,D.CC
./78-MF-DS-54,DS,MF,2,NA,0.9954,0.993421,D.MF,8,D.MF,D.MF
./80-1-CC-DS-86,DS,CC,6,NA,0.332226,0.0288089,D.CC,7,D.CC,D.CC
./81-CC-DS-87,DS,CC,7,NA,0.940936,0.850623,D.CC,1,D.CC,D.CC
./84-CC-DD-80,DD,CC,5,NA,0.978503,0.942521,D.CC,2,D.CC,D.CC
./91-CC-DS-89,DS,CC,9,NA,0.984218,0.965166,D.CC,10,D.CC,D.CC
./94-CC-SS-37,SS,CC,20,S.CC,0.874611,0.699377,S.CC,,S.CC,S.CC
./97-MF-SS-64,SS,MF,15,NA,0.948899,0.944737,S.MF,,S.MF,S.MF
./98-MF-SS-69,SS,MF,18,NA,0.784292,0.457341,S.MF,3,S.MF,S.MF
./99-MF-SD-43,SD,MF,14,S.MF,0.5239,0.329986,S.MF,4,S.MF,S.MF
